,date,%-close_x,value,string-date_x,combined,Date,%-close_y,EPS,string-date_y
42,2018-10-31,AAPL-close,52.8603,2018-10-31,2018-10-31_AAPL-close,2018-10-31,AAPL-close,3.42,2018-10-31
43,2018-11-30,AAPL-close,43.2826,2018-11-30,2018-11-30_AAPL-close,2018-11-30,AAPL-close,3.42,2018-11-30
44,2018-12-31,AAPL-close,38.2316,2018-12-31,2018-12-31_AAPL-close,2018-12-31,AAPL-close,4.87,2018-12-31
45,2019-01-31,AAPL-close,40.3402,2019-01-31,2019-01-31_AAPL-close,2019-01-31,AAPL-close,4.87,2019-01-31
46,2019-02-28,AAPL-close,42.1463,2019-02-28,2019-02-28_AAPL-close,2019-02-28,AAPL-close,4.87,2019-02-28
47,2019-03-29,AAPL-close,46.2356,2019-03-29,2019-03-29_AAPL-close,2019-03-29,AAPL-close,4.87,2019-03-29
48,2019-04-30,AAPL-close,48.845,2019-04-30,2019-04-30_AAPL-close,2019-04-30,AAPL-close,2.25,2019-04-30
49,2019-05-31,AAPL-close,42.7801,2019-05-31,2019-05-31_AAPL-close,2019-05-31,AAPL-close,2.25,2019-05-31
50,2019-06-28,AAPL-close,48.3637,2019-06-28,2019-06-28_AAPL-close,2019-06-28,AAPL-close,2.25,2019-06-28
51,2019-07-31,AAPL-close,52.0584,2019-07-31,2019-07-31_AAPL-close,2019-07-31,AAPL-close,3.17,2019-07-31
52,2019-08-30,AAPL-close,51.2031,2019-08-30,2019-08-30_AAPL-close,2019-08-30,AAPL-close,3.17,2019-08-30
53,2019-09-30,AAPL-close,54.939,2019-09-30,2019-09-30_AAPL-close,2019-09-30,AAPL-close,2.68,2019-09-30
54,2019-10-31,AAPL-close,61.0198,2019-10-31,2019-10-31_AAPL-close,2019-10-31,AAPL-close,2.68,2019-10-31
55,2019-11-29,AAPL-close,65.7499,2019-11-29,2019-11-29_AAPL-close,2019-11-29,AAPL-close,2.68,2019-11-29
56,2019-12-31,AAPL-close,72.245,2019-12-31,2019-12-31_AAPL-close,2019-12-31,AAPL-close,4.71,2019-12-31
