,4b. close (USD),5. volume,6. market cap (USD)
2021-07-26,37237.60000000,152452.51272400,152452.51272400
2021-07-25,35381.02000000,47852.92831300,47852.92831300
2021-07-24,34258.14000000,47977.55013800,47977.55013800
2021-07-23,33634.09000000,50112.86362600,50112.86362600
2021-07-22,32287.83000000,46148.09243300,46148.09243300
2021-07-21,32144.51000000,82796.26512800,82796.26512800
2021-07-20,29790.35000000,61034.04901700,61034.04901700
2021-07-19,30839.65000000,47340.46849900,47340.46849900
2021-07-18,31778.56000000,35923.71618600,35923.71618600
2021-07-17,31520.07000000,34012.24213200,34012.24213200
2021-07-16,31383.87000000,48499.86415400,48499.86415400
2021-07-15,31880.00000000,51639.57635300,51639.57635300
2021-07-14,32820.02000000,46777.82348400,46777.82348400
2021-07-13,32729.77000000,41126.36100800,41126.36100800
2021-07-12,33086.63000000,48181.40376200,48181.40376200
2021-07-11,34258.99000000,31572.64744800,31572.64744800
2021-07-10,33502.87000000,34761.17546800,34761.17546800
2021-07-09,33815.81000000,47153.93989900,47153.93989900
2021-07-08,32875.71000000,70136.48032000,70136.48032000
2021-07-07,33862.12000000,53807.52167500,53807.52167500
2021-07-06,34220.01000000,58210.59634900,58210.59634900
2021-07-05,33690.14000000,64123.87424500,64123.87424500
2021-07-04,35286.51000000,43703.47578900,43703.47578900
2021-07-03,34669.13000000,43044.57864100,43044.57864100
2021-07-02,33786.55000000,56172.18137800,56172.18137800
2021-07-01,33504.69000000,71708.26611200,71708.26611200
2021-06-30,35045.00000000,77152.19763400,77152.19763400
2021-06-29,35911.73000000,90788.79622000,90788.79622000
2021-06-28,34494.89000000,82222.26781900,82222.26781900
2021-06-27,34700.34000000,96613.24421100,96613.24421100
2021-06-26,32283.65000000,107820.37528700,107820.37528700
2021-06-25,31584.45000000,116061.13035600,116061.13035600
2021-06-24,34663.09000000,86625.80426000,86625.80426000
2021-06-23,33678.07000000,126966.10056300,126966.10056300
2021-06-22,32509.56000000,204208.17976200,204208.17976200
2021-06-21,31608.93000000,168778.87315900,168778.87315900
2021-06-20,35600.16000000,89878.17085000,89878.17085000
2021-06-19,35483.72000000,68712.44946100,68712.44946100
2021-06-18,35819.84000000,95228.04293500,95228.04293500
2021-06-17,38092.97000000,79541.30711900,79541.30711900
2021-06-16,38349.01000000,87771.97693700,87771.97693700
2021-06-15,40144.04000000,80679.62283800,80679.62283800
2021-06-14,40516.29000000,108522.39194900,108522.39194900
2021-06-13,39020.57000000,86921.02555500,86921.02555500
2021-06-12,35546.11000000,87717.54999000,87717.54999000
2021-06-11,37331.98000000,78466.00530000,78466.00530000
2021-06-10,36675.72000000,109527.28494300,109527.28494300
2021-06-09,37388.05000000,136607.59751700,136607.59751700
2021-06-08,33380.81000000,123251.18903700,123251.18903700
2021-06-07,33552.79000000,77574.95257300,77574.95257300
2021-06-06,35796.31000000,47650.20663700,47650.20663700
2021-06-05,35513.20000000,70459.62149000,70459.62149000
2021-06-04,36829.00000000,91317.79924500,91317.79924500
2021-06-03,39246.79000000,75889.10601100,75889.10601100
2021-06-02,37568.68000000,67587.37249500,67587.37249500
2021-06-01,36693.09000000,81234.66377000,81234.66377000
2021-05-31,37253.81000000,94160.73528900,94160.73528900
2021-05-30,35641.27000000,73535.38696700,73535.38696700
2021-05-29,34605.15000000,112663.09268900,112663.09268900
2021-05-28,35663.49000000,135377.62972000,135377.62972000
2021-05-27,38529.98000000,86547.15879400,86547.15879400
2021-05-26,39241.91000000,104780.77339600,104780.77339600
2021-05-25,38324.72000000,111996.22840400,111996.22840400
2021-05-24,38796.29000000,161630.89397100,161630.89397100
2021-05-23,34655.25000000,217136.04659300,217136.04659300
2021-05-22,37449.73000000,126542.24368900,126542.24368900
2021-05-21,37252.01000000,202100.88825800,202100.88825800
2021-05-20,40526.64000000,203017.59692300,203017.59692300
2021-05-19,36690.09000000,354347.24316100,354347.24316100
2021-05-18,42849.78000000,116979.86078400,116979.86078400
2021-05-17,43538.04000000,166657.17273600,166657.17273600
2021-05-16,46431.50000000,114269.81277500,114269.81277500
2021-05-15,46762.99000000,89437.44935900,89437.44935900
2021-05-14,49841.45000000,80082.20430600,80082.20430600
2021-05-13,49670.97000000,147332.00212100,147332.00212100
2021-05-12,49631.32000000,99842.78983600,99842.78983600
2021-05-11,56670.02000000,64329.54055000,64329.54055000
2021-05-10,55816.14000000,89586.34925000,89586.34925000
2021-05-09,58240.84000000,69806.11991000,69806.11991000
2021-05-08,58862.05000000,69709.90602800,69709.90602800
2021-05-07,57314.75000000,74542.74782900,74542.74782900
2021-05-06,56393.68000000,70181.67190800,70181.67190800
2021-05-05,57436.11000000,77263.92343900,77263.92343900
2021-05-04,53200.01000000,85324.62590300,85324.62590300
2021-05-03,57169.39000000,57649.93128600,57649.93128600
2021-05-02,56578.21000000,36812.87886300,36812.87886300
2021-05-01,57800.37000000,42600.35183600,42600.35183600
2021-04-30,57694.27000000,68578.91004500,68578.91004500
2021-04-29,53555.00000000,52486.01945500,52486.01945500
2021-04-28,54846.22000000,55130.45901500,55130.45901500
2021-04-27,55011.97000000,54064.03467500,54064.03467500
2021-04-26,54001.39000000,86310.80212400,86310.80212400
2021-04-25,49066.77000000,58255.64500400,58255.64500400
2021-04-24,50047.84000000,55361.51257300,55361.51257300
2021-04-23,51125.14000000,132230.78071900,132230.78071900
2021-04-22,51690.96000000,104656.63133700,104656.63133700
