AAPL
GOOGL
GOOG
MSFT
AMZN
FB
JPM
JNJ
XOM
BAC
WMT
WFC
V
BRK.B
T
HD
CVX
UNH
INTC
PFE
VZ
PG
BA
ORCL
CSCO
C
KO
MA
CMCSA
ABBV
DWDP
PEP
DIS
PM
MRK
IBM
MMM
NVDA
GE
MCD
AMGN
MO
NFLX
HON
MDT
GILD
NKE
UTX
BMY
ABT
