Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week High,52 Week Low,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Variation
IBM,International Business Machines,Information Technology,147.59,10.67,3.8999026,6.11,182.79,139.13,"142,433,003,505.00",16557000000,1.817167,7.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM,0.2958195
MMM,3M Company,Industrials,222.89,24.31,2.3328617,7.92,259.77,175.49,"138,721,055,226.00",9048000000,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,0.378123738
NVDA,Nvidia Corporation,Information Technology,217.52,82.08,0.26223776,2.57,249.27,95.17,"138,652,800,000.00",3098000000,20.094294,20.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA,0.708440603
GE,General Electric,Industrials,14.45,13.76,3.147541,-0.72,30.59,14.71,"132,249,296,250.00",-206000000,1.0887611,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE,1.098961938
MCD,McDonald's Corp.,Consumer Discretionary,158.97,23.83,2.437994,6.36,178.7,124.36,"132,101,623,787.00",10515400000,5.770237,146.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD,0.341825502
AMGN,Amgen Inc,Health Care,173.12,13.76,2.9751508,2.57,201.23,152.16,"128,133,340,000.00",11945000000,5.58192,3.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN,0.283445009
MO,Altria Group Inc,Consumer Staples,64.05,18.89,3.9526875,5.31,77.79,60.01,"126,985,101,434.00",10773000000,4.945682,10.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO,0.277595628
NFLX,Netflix Inc.,Information Technology,250.1,200.08,0,1.25,286.81,138.26,"114,805,404,842.00",809028000,9.861594,30.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFLX,0.593962415
HON,Honeywell Int'l Inc.,Industrials,146.02,20.68,1.9710299,2.08,165.13,119.31,"114,422,168,609.00",8333000000,2.8267899,5.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON,0.313792631
MDT,Medtronic plc,Health Care,78.38,17.04,2.2618315,2.89,89.72,75.44,"110,107,062,300.00",9204000000,4.944542,2.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDT,0.182189334
GILD,Gilead Sciences,Health Care,78.22,8.16,2.754954,9.95,89.54,63.759,"108,106,822,109.00",17590000000,5.2087464,4.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD,0.329596011
NKE,Nike,Consumer Discretionary,62.49,24.9,1.2189548,2.51,68.83,50.35,"106,776,113,744.00",5162000000,3.0549932,8.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NKE,0.295727316
UTX,United Technologies,Industrials,127.48,19.26,2.1216943,5.7,139.24,107.05,"105,387,272,474.00",10584000000,1.7324123,3.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UTX,0.252510198
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,2.5546863,2.65,66.1,51.12,"102,506,501,960.00",5170000000,6.503231,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY,0.238953581
ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,"102,121,042,306.00",5744000000,3.7404804,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,0.396658966
